,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
6,0.09118546875523459,RESP2,hf/6-31g*,1.0,0.0,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.0903589110987479,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.00014380905930669598,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.0035480447286361984,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,-0.004973899694018027,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.32351348763417603,RESP2,hf/6-31g*,1.0,0.05,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.3985591626540508,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5096045700617634,RESP2,hf/6-31g*,1.0,0.05,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7510096872135588,RESP2,hf/6-31g*,1.0,0.05,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.5800082082834527,RESP2,hf/6-31g*,1.0,0.05,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.08818827970726928,RESP2,hf/6-31g*,1.0,0.05,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09152760852272912,RESP2,hf/6-31g*,1.0,0.05,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09065728717296925,RESP2,hf/6-31g*,1.0,0.05,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.000315988398985805,RESP2,hf/6-31g*,1.0,0.05,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.0032568921951569006,RESP2,hf/6-31g*,1.0,0.05,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,-0.0038748554950140367,RESP2,hf/6-31g*,1.0,0.05,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.3247229498291853,RESP2,hf/6-31g*,1.0,0.1,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.3998863007440852,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5107993933648037,RESP2,hf/6-31g*,1.0,0.1,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.75297863085736,RESP2,hf/6-31g*,1.0,0.1,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.5834862054980677,RESP2,hf/6-31g*,1.0,0.1,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.08857158877221985,RESP2,hf/6-31g*,1.0,0.1,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.0918697482902237,RESP2,hf/6-31g*,1.0,0.1,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09095566324719066,RESP2,hf/6-31g*,1.0,0.1,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.0004881677386649304,RESP2,hf/6-31g*,1.0,0.1,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.002965739661677587,RESP2,hf/6-31g*,1.0,0.1,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,-0.0027758112960100307,RESP2,hf/6-31g*,1.0,0.1,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.32593241202419454,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.40121343883411964,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5119942166678441,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7549475745011611,RESP2,hf/6-31g*,1.0,0.15000000000000002,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.5869642027126826,RESP2,hf/6-31g*,1.0,0.15000000000000002,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.08895489783717044,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09221188805771827,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09125403932141206,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.0006603470783440521,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.002674587128198277,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,-0.0016767670970060274,RESP2,hf/6-31g*,1.0,0.15000000000000002,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.3271418742192039,RESP2,hf/6-31g*,1.0,0.2,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.40254057692415407,RESP2,hf/6-31g*,1.0,0.2,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5131890399708844,RESP2,hf/6-31g*,1.0,0.2,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7569165181449624,RESP2,hf/6-31g*,1.0,0.2,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.5904421999272975,RESP2,hf/6-31g*,1.0,0.2,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.089338206902121,RESP2,hf/6-31g*,1.0,0.2,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09255402782521281,RESP2,hf/6-31g*,1.0,0.2,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09155241539563344,RESP2,hf/6-31g*,1.0,0.2,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.000832526418023165,RESP2,hf/6-31g*,1.0,0.2,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.0023834345947189766,RESP2,hf/6-31g*,1.0,0.2,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,-0.0005777228980020338,RESP2,hf/6-31g*,1.0,0.2,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.3283513364142131,RESP2,hf/6-31g*,1.0,0.25,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.40386771501418844,RESP2,hf/6-31g*,1.0,0.25,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5143838632739247,RESP2,hf/6-31g*,1.0,0.25,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7588854617887635,RESP2,hf/6-31g*,1.0,0.25,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.5939201971419125,RESP2,hf/6-31g*,1.0,0.25,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.08972151596707155,RESP2,hf/6-31g*,1.0,0.25,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09289616759270736,RESP2,hf/6-31g*,1.0,0.25,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09185079146985482,RESP2,hf/6-31g*,1.0,0.25,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.0010047057577022625,RESP2,hf/6-31g*,1.0,0.25,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.00209228206123969,RESP2,hf/6-31g*,1.0,0.25,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,0.0005213213010019442,RESP2,hf/6-31g*,1.0,0.25,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.3295607986092224,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.40519485310422293,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.515578686576965,RESP2,hf/6-31g*,1.0,0.30000000000000004,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7608544054325647,RESP2,hf/6-31g*,1.0,0.30000000000000004,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.5973981943565274,RESP2,hf/6-31g*,1.0,0.30000000000000004,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.09010482503202212,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09323830736020192,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.0921491675440762,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.0011768850973813893,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.0018011295277603747,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,0.0016203655000059524,RESP2,hf/6-31g*,1.0,0.30000000000000004,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.3307702608042316,RESP2,hf/6-31g*,1.0,0.35000000000000003,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.40652199119425736,RESP2,hf/6-31g*,1.0,0.35000000000000003,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5167735098800054,RESP2,hf/6-31g*,1.0,0.35000000000000003,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7628233490763658,RESP2,hf/6-31g*,1.0,0.35000000000000003,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.6008761915711422,RESP2,hf/6-31g*,1.0,0.35000000000000003,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.09048813409697269,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09358044712769649,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09244754361829759,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.001349064437060502,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.0015099769942810736,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,0.0027194096990099457,RESP2,hf/6-31g*,1.0,0.35000000000000003,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.3319797229992409,RESP2,hf/6-31g*,1.0,0.4,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.4078491292842918,RESP2,hf/6-31g*,1.0,0.4,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5179683331830457,RESP2,hf/6-31g*,1.0,0.4,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7647922927201671,RESP2,hf/6-31g*,1.0,0.4,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.6043541887857572,RESP2,hf/6-31g*,1.0,0.4,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.09087144316192325,RESP2,hf/6-31g*,1.0,0.4,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
6,0.09392258689519103,RESP2,hf/6-31g*,1.0,0.4,H,hf,7,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
7,0.09274591969251897,RESP2,hf/6-31g*,1.0,0.4,H,hf,8,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
8,0.0015212437767396071,RESP2,hf/6-31g*,1.0,0.4,H,hf,9,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
9,-0.0012188244608017805,RESP2,hf/6-31g*,1.0,0.4,H,hf,10,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
10,0.003818453898013932,RESP2,hf/6-31g*,1.0,0.4,H,hf,11,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
0,-0.33318918519425017,RESP2,hf/6-31g*,1.0,0.45,C,hf,1,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
1,0.4091762673743263,RESP2,hf/6-31g*,1.0,0.45,C,hf,2,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
2,-0.5191631564860861,RESP2,hf/6-31g*,1.0,0.45,O,hf,3,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
3,0.7667612363639682,RESP2,hf/6-31g*,1.0,0.45,C,hf,4,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
4,-0.6078321860003721,RESP2,hf/6-31g*,1.0,0.45,O,hf,5,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
5,0.0912547522268738,RESP2,hf/6-31g*,1.0,0.45,H,hf,6,[H:11][C:4](=[O:5])[O:3][C:2]([H:9])([H:10])[C:1]([H:6])([H:7])[H:8],,
